2017-09-08T10:48:55.289+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:53015 #43 (4 connections now open)
2017-09-08T10:48:55.293+0800 I NETWORK  [conn43] received client metadata from 127.0.0.1:53015 conn43: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:49:57.968+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:53313 #44 (5 connections now open)
2017-09-08T10:49:57.968+0800 I NETWORK  [conn44] received client metadata from 127.0.0.1:53313 conn44: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:53:03.996+0800 I -        [conn43] end connection 127.0.0.1:53015 (5 connections now open)
2017-09-08T10:53:03.996+0800 I -        [conn44] end connection 127.0.0.1:53313 (5 connections now open)
2017-09-08T10:53:04.464+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:54393 #45 (4 connections now open)
2017-09-08T10:53:04.466+0800 I NETWORK  [conn45] received client metadata from 127.0.0.1:54393 conn45: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:53:10.242+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:54424 #46 (5 connections now open)
2017-09-08T10:53:10.243+0800 I NETWORK  [conn46] received client metadata from 127.0.0.1:54424 conn46: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:54:41.695+0800 I -        [conn45] end connection 127.0.0.1:54393 (5 connections now open)
2017-09-08T10:54:41.695+0800 I -        [conn46] end connection 127.0.0.1:54424 (5 connections now open)
2017-09-08T10:54:42.235+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:54866 #47 (4 connections now open)
2017-09-08T10:54:42.255+0800 I NETWORK  [conn47] received client metadata from 127.0.0.1:54866 conn47: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:54:51.868+0800 I -        [conn47] end connection 127.0.0.1:54866 (4 connections now open)
2017-09-08T10:54:52.426+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:54915 #48 (4 connections now open)
